product_id,category,price,rating,description
1,Sports,0.781944528859985,0.07500000000000001,"Achieve your best with our high-performance and professional-grade Sports. It's durable and comfortable, perfect for lightweight performance."
2,Beauty,0.925322636196033,0.925,"Our Beauty features premium quality ingredients and luxurious results. It's hypoallergenic and natural ingredients, ensuring a long-lasting glow."
3,Books,0.9484795072833728,0.7,"Our Books offers a must-read experience with engaging insights. It's bestselling and informative, ideal for any reader."
4,Sports,0.5059259709475475,0.95,"This Sports is professional-grade and durable, designed for lightweight activities. It's high-performance and comfortable, ideal for any sports enthusiast."
5,Books,0.15002329868919548,0.275,"Our Books offers a must-read experience with informative insights. It's bestselling and classic, ideal for any reader."
6,Clothing,0.5248485585202294,0.525,"Our Clothing is trendy and breathable, perfect for versatile wear. It's comfortable and stylish, making it a staple in any wardrobe."
7,Books,0.6223586377357726,0.725,"Dive into this Books with our bestselling and classic read. It's must-read and informative, a engaging addition to any collection."
8,Clothing,0.11997811949188597,0.07500000000000001,"Our Clothing is trendy and comfortable, perfect for breathable wear. It's stylish and versatile, making it a staple in any wardrobe."
9,Clothing,0.2397333819566847,0.2,"Our Clothing is versatile and stylish, perfect for trendy wear. It's comfortable and breathable, making it a staple in any wardrobe."
10,Clothing,0.38335460604955535,0.42500000000000004,"This Clothing combines versatile style with stylish comfort. It's comfortable and trendy, suitable for all occasions."
11,Home,0.009825968921574587,0.7,"Our Home is cozy and elegant, designed for durable use. It's modern and functional, adding a touch of elegance to your home."
12,Home,0.434530683360684,0.65,"Our Home is functional and modern, designed for elegant use. It's cozy and durable, adding a touch of elegance to your home."
13,Clothing,0.08778540894264472,0.725,"Our Clothing is comfortable and trendy, perfect for stylish wear. It's versatile and breathable, making it a staple in any wardrobe."
14,Beauty,0.9112218643003303,0.32499999999999996,"Our Beauty features luxurious ingredients and natural ingredients results. It's hypoallergenic and long-lasting, ensuring a premium quality glow."
15,Home,0.43590834498267794,0.42500000000000004,"Enhance your living space with our elegant and durable Home. It's cozy and functional, perfect for any home."
16,Beauty,0.45977430661074986,0.275,"Experience luxurious and premium quality care with our Beauty. It's hypoallergenic and long-lasting, perfect for a natural ingredients routine."
17,Books,0.8164265888693044,0.4,"Our Books offers a informative experience with bestselling insights. It's classic and must-read, ideal for any reader."
18,Electronics,0.0,0.575,"This Electronics item features user-friendly design and latest technology functionality. It's high-performance and durable, perfect for everyday use."
19,Clothing,0.4136226422739521,0.675,"This Clothing combines trendy style with versatile comfort. It's breathable and stylish, suitable for all occasions."
20,Electronics,0.11910695111327216,0.25,"This Electronics item features compact design and high-performance functionality. It's user-friendly and latest technology, perfect for everyday use."
21,Sports,0.949776129986426,0.525,"This Sports is comfortable and lightweight, designed for durable activities. It's professional-grade and high-performance, ideal for any sports enthusiast."
22,Clothing,0.6043882574606455,0.04999999999999999,"This Clothing combines trendy style with versatile comfort. It's stylish and breathable, suitable for all occasions."
23,Beauty,0.16382017463887033,0.875,"Experience luxurious and long-lasting care with our Beauty. It's hypoallergenic and natural ingredients, perfect for a premium quality routine."
24,Books,0.1059989059745943,0.675,"Dive into this Books with our engaging and informative read. It's must-read and bestselling, a classic addition to any collection."
25,Books,0.37843149172390045,0.55,"Dive into this Books with our classic and must-read read. It's informative and bestselling, a engaging addition to any collection."
26,Electronics,0.1945136651877064,0.375,"Experience the user-friendly of our Electronics with this high-performance product. It's durable and latest technology, ensuring high performance."
27,Books,0.6860147085637878,0.32499999999999996,"Dive into this Books with our must-read and engaging read. It's classic and bestselling, a informative addition to any collection."
28,Books,0.7652302518284405,0.6,"Dive into this Books with our classic and engaging read. It's informative and bestselling, a must-read addition to any collection."
29,Sports,0.6596568001782855,0.025000000000000022,"Achieve your best with our durable and comfortable Sports. It's professional-grade and lightweight, perfect for high-performance performance."
30,Home,0.7592738912862902,0.9750000000000001,"Enhance your living space with our functional and modern Home. It's elegant and cozy, perfect for any home."
31,Clothing,0.9124577078141778,0.07500000000000001,"This Clothing combines breathable style with stylish comfort. It's comfortable and trendy, suitable for all occasions."
32,Sports,0.1002248830000608,0.7,"This Sports is comfortable and high-performance, designed for lightweight activities. It's professional-grade and durable, ideal for any sports enthusiast."
33,Clothing,0.31599100467999763,0.125,"Our Clothing is trendy and breathable, perfect for comfortable wear. It's versatile and stylish, making it a staple in any wardrobe."
34,Books,0.27851050466986776,0.375,"Our Books offers a bestselling experience with classic insights. It's engaging and must-read, ideal for any reader."
35,Books,0.8821694118600458,0.375,"Our Books offers a informative experience with must-read insights. It's engaging and bestselling, ideal for any reader."
36,Books,0.06258230515204928,0.15000000000000002,"Our Books offers a classic experience with informative insights. It's bestselling and must-read, ideal for any reader."
37,Electronics,0.1918191211329241,0.125,"Experience the compact of our Electronics with this user-friendly product. It's high-performance and latest technology, ensuring high performance."
38,Beauty,0.8557709840150732,0.55,"Experience luxurious and hypoallergenic care with our Beauty. It's natural ingredients and premium quality, perfect for a long-lasting routine."
39,Electronics,0.11971474300532833,0.07500000000000001,"This Electronics item features latest technology design and durable functionality. It's compact and user-friendly, perfect for everyday use."
40,Clothing,0.17066796328936976,0.275,"This Clothing combines breathable style with trendy comfort. It's versatile and stylish, suitable for all occasions."
41,Electronics,0.9340545797119065,0.65,"Experience the high-performance of our Electronics with this latest technology product. It's compact and durable, ensuring high performance."
42,Books,0.8253408699527949,0.175,"Our Books offers a classic experience with informative insights. It's bestselling and engaging, ideal for any reader."
43,Home,0.44603820985028064,0.8500000000000001,"Enhance your living space with our durable and elegant Home. It's functional and cozy, perfect for any home."
44,Beauty,0.12972304949451974,0.8999999999999999,"Our Beauty features long-lasting ingredients and luxurious results. It's premium quality and natural ingredients, ensuring a hypoallergenic glow."
45,Sports,0.23870013574018925,0.30000000000000004,"This Sports is high-performance and comfortable, designed for durable activities. It's lightweight and professional-grade, ideal for any sports enthusiast."
46,Home,0.6033752709738852,0.95,"Enhance your living space with our elegant and durable Home. It's cozy and modern, perfect for any home."
47,Home,0.7759476488583642,0.22499999999999998,"Our Home is functional and cozy, designed for modern use. It's durable and elegant, adding a touch of elegance to your home."
48,Home,0.38517798172572376,0.925,"Enhance your living space with our elegant and cozy Home. It's modern and durable, perfect for any home."
49,Electronics,0.13270122976559492,0.22499999999999998,"This Electronics item features high-performance design and durable functionality. It's user-friendly and latest technology, perfect for everyday use."
50,Home,0.29394841872809413,0.875,"Enhance your living space with our elegant and functional Home. It's durable and modern, perfect for any home."
51,Books,0.014485706760671813,0.025000000000000022,"Our Books offers a must-read experience with informative insights. It's engaging and classic, ideal for any reader."
52,Electronics,0.6212443526003363,0.55,"This Electronics item features durable design and high-performance functionality. It's user-friendly and latest technology, perfect for everyday use."
53,Clothing,0.8934743410522904,0.125,"Our Clothing is breathable and comfortable, perfect for trendy wear. It's stylish and versatile, making it a staple in any wardrobe."
54,Beauty,0.024412974330922425,0.675,"Experience natural ingredients and hypoallergenic care with our Beauty. It's long-lasting and premium quality, perfect for a luxurious routine."
55,Home,0.8908203164569785,0.8,"Enhance your living space with our cozy and durable Home. It's modern and functional, perfect for any home."
56,Home,0.3990558965943395,0.9750000000000001,"Our Home is cozy and functional, designed for elegant use. It's modern and durable, adding a touch of elegance to your home."
57,Sports,0.5937113798901923,0.75,"Achieve your best with our high-performance and professional-grade Sports. It's comfortable and lightweight, perfect for durable performance."
58,Sports,0.11959318462691709,0.7749999999999999,"Achieve your best with our lightweight and high-performance Sports. It's comfortable and professional-grade, perfect for durable performance."
59,Home,0.3071172430559776,0.175,"Our Home is elegant and cozy, designed for functional use. It's durable and modern, adding a touch of elegance to your home."
60,Electronics,0.14181810814643733,0.875,"Experience the durable of our Electronics with this user-friendly product. It's compact and high-performance, ensuring high performance."
61,Home,0.11256305840880083,0.42500000000000004,"Our Home is cozy and functional, designed for modern use. It's durable and elegant, adding a touch of elegance to your home."
62,Clothing,0.7161814461395085,0.6,"This Clothing combines stylish style with breathable comfort. It's trendy and comfortable, suitable for all occasions."
63,Home,0.7069227496505197,0.025000000000000022,"Our Home is functional and cozy, designed for modern use. It's durable and elegant, adding a touch of elegance to your home."
64,Books,0.1968232743775198,0.8999999999999999,"Our Books offers a informative experience with engaging insights. It's classic and bestselling, ideal for any reader."
